Customers,Amount,Month,Year
4.8,4.8,8,2021
5.32,5.32,3,2021
4.35,4.35,2,2021
5.02,5.02,1,2021
4.46,4.46,1,2022
4.33,4.33,2,2022
100.19,100.19,12,2021
89.68,89.68,11,2021
85.75,85.75,10,2021
74.89,74.89,9,2021
68.16,68.16,8,2021
63.44,63.44,7,2021
52.08,52.08,6,2021
40.92,40.92,5,2021
35.43,35.43,4,2021
32.14,32.14,3,2021
25.76,25.76,2,2021
27.91,27.91,1,2021
114.39,114.39,1,2022
111.85,111.85,2,2022
129.5,129.5,3,2022
126.25,126.25,4,2022
127.88,127.88,5,2022
116.34,116.34,6,2022
116.59,116.59,7,2022
164.8,164.8,3,2022
186.13,186.13,4,2022
215.44,215.44,5,2022
223.22,223.22,6,2022
254.14,254.14,7,2022
0.43,0.43,4,2022
5.74,5.74,5,2022
8.72,8.72,6,2022
177.92,177.92,12,2021
102.84,102.84,11,2021
60,60,10,2021
29.3,29.3,9,2021
17.36,17.36,8,2021
2.07,2.07,7,2021
156.15,156.15,1,2022
140.79,140.79,2,2022
30.03,30.03,12,2021
27.68,27.68,11,2021
25.71,25.71,10,2021
18.64,18.64,9,2021
15.38,15.38,8,2021
18.45,18.45,7,2021
22.51,22.51,6,2021
20.74,20.74,5,2021
21.13,21.13,4,2021
20.89,20.89,3,2021
16.41,16.41,2,2021
15.35,15.35,1,2021
31.19,31.19,1,2022
31.35,31.35,2,2022
37.96,37.96,3,2022
35.58,35.58,4,2022
40.34,40.34,5,2022
43.13,43.13,6,2022
48.01,48.01,7,2022
17.44,17.44,12,2021
15.46,15.46,11,2021
15.4,15.4,10,2021
14.14,14.14,9,2021
15.25,15.25,8,2021
14.6,14.6,7,2021
12.59,12.59,6,2021
11.59,11.59,5,2021
13.08,13.08,4,2021
15.14,15.14,3,2021
13.87,13.87,2,2021
13.14,13.14,1,2021
17.37,17.37,1,2022
17.17,17.17,2,2022
18.29,18.29,3,2022
18.54,18.54,4,2022
17.69,17.69,5,2022
15.91,15.91,6,2022
15.66,15.66,7,2022
2.49,2.49,1,2021
1168.93,1168.93,12,2021
1035.67,1035.67,11,2021
944.5,944.5,10,2021
771.05,771.05,9,2021
723.21,723.21,8,2021
642.53,642.53,7,2021
535.98,535.98,6,2021
427.4,427.4,5,2021
381.37,381.37,4,2021
397.99,397.99,3,2021
347.66,347.66,2,2021
343.38,343.38,1,2021
"1,333.06","1,333.06",1,2022
"1,383.30","1,383.30",2,2022
"1,587.51","1,587.51",3,2022
"1,684.35","1,684.35",4,2022
"1,882.81","1,885.00",5,2022
"1,758.64","1,762.28",6,2022
"1,815.87","1,816.33",7,2022
22.3,22.3,12,2021
45.04,45.04,11,2021
48.4,48.4,10,2021
25.67,25.67,9,2021
25.28,25.28,8,2021
29.31,29.31,7,2021
22.16,22.16,6,2021
11.47,11.47,5,2021
26.08,26.08,4,2021
31.2,31.2,3,2021
44.08,44.08,2,2021
3.95,3.95,1,2021
19.63,19.63,1,2022
33.03,33.03,2,2022
47.1,47.1,3,2022
41.18,41.18,4,2022
43.26,43.26,5,2022
51.45,51.45,6,2022
58.19,58.19,7,2022
43.97,43.97,12,2021
47.27,47.27,11,2021
54.77,54.77,10,2021
51.29,51.29,9,2021
50.26,50.26,8,2021
53.34,53.34,7,2021
56.69,56.69,6,2021
55.17,55.17,5,2021
58.08,58.08,4,2021
64.65,64.65,3,2021
59.91,59.91,2,2021
62.81,62.81,1,2021
40.51,40.51,1,2022
38.46,38.46,2,2022
36.02,36.02,3,2022
28.58,28.58,4,2022
33.9,33.9,5,2022
29.61,29.61,6,2022
26.98,26.98,7,2022
985.86,985.86,12,2021
1478.95,1478.95,11,2021
1070.32,1070.32,10,2021
687.94,687.94,9,2021
418.04,418.04,8,2021
402.42,402.42,7,2021
535.12,535.12,6,2021
467.11,467.11,5,2021
254.32,254.32,4,2021
315.59,315.59,3,2021
216.94,216.94,2,2021
253.16,253.16,1,2021
886.55,886.55,1,2022
755.89,755.89,2,2022
739.25,739.25,3,2022
421.47,421.47,4,2022
397.7,397.7,5,2022
404.63,404.63,6,2022
462.17,462.17,7,2022
1.31,1.31,12,2021
1.11,1.11,11,2021
0.84,0.84,9,2021
0.85,0.85,8,2021
0.86,0.86,7,2021
0.58,0.58,5,2021
1.45,1.45,1,2022
1.77,1.77,2,2022
2.28,2.28,3,2022
2.32,2.32,4,2022
2.39,2.39,5,2022
2.44,2.44,6,2022
3.5,3.5,7,2022
14.98,14.98,11,2021
21.51,21.51,10,2021
11.75,11.75,9,2021
10.41,10.41,8,2021
13.88,13.88,4,2021
11.62,11.62,3,2021
10.49,10.49,2,2021
10.76,10.76,1,2021
16.61,16.61,7,2021
8.74,8.74,12,2021
19.27,19.27,6,2021
12.47,12.47,5,2021
9.08,9.08,1,2022
8.15,8.15,2,2022
8.11,8.11,3,2022
8.26,8.26,4,2022
10.7,10.7,5,2022
6.34,6.34,6,2022
5.15,5.15,7,2022
71874.13,88094.49,12,2021
66920.55,81403.37,11,2021
64727.41,80508.04,10,2021
53793.06,61417.53,9,2021
50021.4,56319.62,8,2021
46406.52,51694.41,7,2021
40614.09,44981.11,6,2021
35715.48,43741.16,5,2021
36859.2,41469.53,4,2021
38653.06,43221.25,3,2021
34405.44,38493.52,2,2021
33909.5,37845.76,1,2021
"70,892.01","85,125.97",1,2022
"72,204.32","86,299.22",2,2022
"83,840.44","95,650.36",3,2022
"85,918.88","1,01,649.06",4,2022
"91,546.50","1,08,276.78",5,2022
"89,388.78","1,02,119.90",6,2022
"94,507.77","1,11,149.66",7,2022
394565.58,394565.58,12,2021
365044.32,365044.32,11,2021
365845.39,365845.39,10,2021
306437.37,306437.37,9,2021
301644.8,301644.8,8,2021
288573,288572.9,7,2021
262565.88,262565.88,6,2021
234123.57,234123.57,5,2021
234023.33,234023.33,4,2021
231412.33,231412.33,3,2021
189517.82,189517.82,2,2021
191973.77,191973.77,1,2021
33.76,33.76,12,2021
31.14,31.14,11,2021
32.06,32.06,10,2021
25.07,25.07,9,2021
15.28,15.28,8,2021
8.86,8.86,7,2021
41.1,41.1,6,2021
55.51,55.51,5,2021
63.07,63.07,4,2021
72.25,72.25,3,2021
62.93,62.93,2,2021
64.68,64.68,1,2021
44.86,44.86,1,2022
43.49,43.49,2,2022
46.64,46.64,3,2022
46.27,46.27,4,2022
43.77,43.77,5,2022
40.68,40.68,6,2022
35.7,35.7,7,2022
3.21,3.21,3,2021
3.67,3.67,2,2021
3.18,3.18,1,2021
3.8,3.8,3,2022
5.38,5.38,4,2022
6.39,6.39,5,2022
5.93,5.93,6,2022
4.03,4.03,7,2022
2.7,2.7,9,2021
2.53,2.53,8,2021
2.87,2.87,1,2022
2.66,2.66,2,2022
102.17,102.17,12,2021
81.95,81.95,11,2021
84.08,84.08,10,2021
65.95,65.95,9,2021
70.24,70.24,8,2021
68.54,68.54,7,2021
61.95,61.95,6,2021
56.21,56.21,5,2021
58.08,58.08,4,2021
59.94,59.94,3,2021
49.4,49.4,2,2021
48.58,48.58,1,2021
101.45,101.45,1,2022
107.25,107.25,2,2022
126.74,126.75,3,2022
113.65,113.65,4,2022
124.01,125.39,5,2022
121,123.89,6,2022
120.48,121.17,7,2022
0.41,0.41,8,2021
1.44,1.44,3,2021
1.63,1.63,2,2021
1.86,1.86,1,2021
436.3,436.3,12,2021
412.13,412.13,11,2021
428.41,428.41,10,2021
371.1,371.1,9,2021
372.08,372.08,8,2021
367.67,367.67,7,2021
331.04,331.04,6,2021
302.68,302.68,5,2021
312.93,312.93,4,2021
326.96,326.96,3,2021
296.08,296.08,2,2021
314.07,314.07,1,2021
431.07,431.07,1,2022
421.97,421.97,2,2022
473.5,473.5,3,2022
470.11,470.11,4,2022
490.3,490.3,5,2022
468.23,468.23,6,2022
472.39,472.39,7,2022
39.92,39.92,12,2021
36.91,36.91,11,2021
37.4,37.4,10,2021
31.18,31.18,9,2021
31.69,31.69,8,2021
28.23,28.23,7,2021
24.3,24.3,6,2021
19.67,19.67,5,2021
23.53,23.53,4,2021
25.5,25.5,3,2021
22.61,22.61,2,2021
22.77,22.77,1,2021
41.4,41.4,1,2022
38.69,38.69,2,2022
44.63,44.63,3,2022
45.03,45.03,4,2022
49.73,49.73,5,2022
46.66,46.66,6,2022
46.97,46.97,7,2022
60.26,60.26,12,2021
53.87,53.87,11,2021
56.38,56.38,10,2021
45.86,45.86,9,2021
45.31,45.31,8,2021
46.29,46.29,7,2021
39.42,39.42,6,2021
36.73,36.73,5,2021
33.32,33.32,4,2021
30.66,30.66,3,2021
27.11,27.11,2,2021
27.86,27.86,1,2021
60.49,60.49,1,2022
64.7,64.7,2,2022
69.84,69.84,3,2022
68.15,68.15,4,2022
70.48,70.48,5,2022
69.13,69.13,6,2022
74.11,74.11,7,2022
1961.7,1961.72,12,2021
1990.21,1990.21,11,2021
2089.18,2089.18,10,2021
1874.58,1874.58,9,2021
1905.52,1905.52,8,2021
1908.2,1908.2,7,2021
1978.61,1978.61,6,2021
2079.32,2079.32,5,2021
2359.08,2359.08,4,2021
2578.38,2578.38,3,2021
2273.77,2273.77,2,2021
2358.82,2358.82,1,2021
"1,967.04","1,967.05",1,2022
"1,863.42","1,863.42",2,2022
"2,130.56","2,130.56",3,2022
"2,118.00","2,118.00",4,2022
"2,195.66","2,195.66",5,2022
"1,947.10","1,947.10",6,2022
"2,013.47","2,013.47",7,2022
0.64,0.64,3,2022
0.4,0.4,4,2022
0.26,0.26,4,2022
1.13,1.13,5,2022
4.02,4.02,6,2022
6.78,6.78,7,2022
32.82,32.82,4,2022
30.33,30.33,5,2022
19.41,19.41,6,2022
17.26,17.26,7,2022
2.1,2.1,6,2022
2.26,2.26,7,2022
3.55,3.55,3,2021
15.36,15.36,2,2021
1.94,1.94,1,2021
33.49,33.49,12,2021
30.41,30.41,11,2021
27.95,27.95,10,2021
23.44,23.44,9,2021
21.64,21.64,8,2021
22.5,22.5,7,2021
20.8,20.8,6,2021
19.5,19.5,5,2021
16.17,16.17,4,2021
16.08,16.08,3,2021
13.69,13.69,2,2021
14.12,14.12,1,2021
37.26,37.26,1,2022
35.05,35.05,2,2022
40.88,40.88,3,2022
41.48,41.48,4,2022
46.39,46.39,5,2022
42.3,42.3,6,2022
46.83,46.83,7,2022
178.99,178.99,12,2021
162.44,162.44,11,2021
170.32,170.32,10,2021
163.57,163.57,9,2021
161.92,161.92,8,2021
158.45,158.45,7,2021
148.09,148.09,6,2021
142.92,142.92,5,2021
178.72,178.72,4,2021
158.23,158.23,3,2021
118.31,118.31,2,2021
120.28,120.28,1,2021
177.63,177.63,1,2022
158.7,158.7,2,2022
1.12,1.12,3,2022
